epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,444.351,1.35362,1.18101,1.2917,0.85948,0.79711,0.88417,0.55012,1.46987,0.88135,1.23918,0.00332659,0.00332659,0.00332659
2,874.57,1.21826,0.76968,1.13646,0.86958,0.80887,0.89746,0.54834,1.45414,0.8982,1.1667,0.00659399,0.00659399,0.00659399
3,1304.61,1.25834,0.8421,1.14976,0.82652,0.74205,0.83555,0.47985,1.49626,1.10636,1.20981,0.00979539,0.00979539,0.00979539
4,1726.51,1.28193,0.88787,1.16783,0.8659,0.74499,0.85446,0.53097,1.44701,0.95839,1.19788,0.009703,0.009703,0.009703
5,2145.01,1.26684,0.85171,1.16084,0.85938,0.79904,0.87903,0.54707,1.43301,0.90714,1.18269,0.009604,0.009604,0.009604
6,2559.13,1.2328,0.80979,1.1442,0.86645,0.78519,0.88203,0.56378,1.38681,0.8911,1.14577,0.009505,0.009505,0.009505
7,2979.74,1.21824,0.78982,1.13142,0.88967,0.78592,0.88674,0.56638,1.39444,0.8497,1.15565,0.009406,0.009406,0.009406
8,3401.69,1.19649,0.75933,1.1232,0.89705,0.7877,0.88938,0.57272,1.36694,0.85631,1.13993,0.009307,0.009307,0.009307
9,3806.71,1.18641,0.75377,1.12025,0.90246,0.78738,0.9006,0.58956,1.34048,0.82465,1.13161,0.009208,0.009208,0.009208
10,4207.18,1.17425,0.72483,1.11119,0.89645,0.8081,0.90697,0.5807,1.36492,0.82033,1.14495,0.009109,0.009109,0.009109
11,4612.4,1.16391,0.70478,1.1071,0.89357,0.8242,0.91157,0.59272,1.3486,0.79677,1.13105,0.00901,0.00901,0.00901
12,5025.14,1.14845,0.69446,1.10078,0.8934,0.83746,0.91914,0.6101,1.31311,0.75087,1.11912,0.008911,0.008911,0.008911
13,5448.75,1.14034,0.68603,1.09704,0.90309,0.83775,0.92222,0.60634,1.32416,0.76853,1.12491,0.008812,0.008812,0.008812
14,5870.92,1.13542,0.67708,1.09694,0.91109,0.82391,0.91674,0.60848,1.31644,0.75466,1.11661,0.008713,0.008713,0.008713
15,6299.11,1.11886,0.65502,1.07772,0.90296,0.82568,0.91633,0.58578,1.42955,0.75057,1.16562,0.008614,0.008614,0.008614
16,6719.88,1.12385,0.65969,1.08722,0.90298,0.84137,0.92509,0.61041,1.32423,0.73903,1.12052,0.008515,0.008515,0.008515
17,7139.68,1.10985,0.6454,1.07773,0.90884,0.84865,0.93006,0.61284,1.32426,0.73341,1.12946,0.008416,0.008416,0.008416
18,7559.9,1.10072,0.63207,1.07597,0.89998,0.83333,0.91859,0.60621,1.34997,0.74867,1.1297,0.008317,0.008317,0.008317
19,7979.38,1.08529,0.62624,1.068,0.90069,0.83216,0.9205,0.60604,1.34312,0.74143,1.12398,0.008218,0.008218,0.008218
20,8399.97,1.08128,0.61626,1.06468,0.90651,0.85424,0.92862,0.61856,1.31962,0.7003,1.11821,0.008119,0.008119,0.008119
21,8821.5,1.08065,0.61268,1.06579,0.89759,0.85946,0.92927,0.61124,1.34033,0.71571,1.1231,0.00802,0.00802,0.00802
22,9243.07,1.07094,0.6072,1.06102,0.90476,0.84923,0.93109,0.61453,1.33668,0.69995,1.12683,0.007921,0.007921,0.007921
23,9662.33,1.06461,0.59847,1.05581,0.89771,0.83729,0.91792,0.59661,1.39531,0.7316,1.15286,0.007822,0.007822,0.007822
24,10081,1.05027,0.59037,1.05162,0.90006,0.85924,0.93092,0.62354,1.30715,0.6909,1.10792,0.007723,0.007723,0.007723
25,10508.9,1.05667,0.58596,1.0513,0.90331,0.86381,0.934,0.62599,1.30343,0.68174,1.10145,0.007624,0.007624,0.007624
26,10935.3,1.05605,0.5886,1.05062,0.90931,0.85032,0.93205,0.61893,1.32341,0.70217,1.11101,0.007525,0.007525,0.007525
27,11372.8,1.03764,0.57473,1.04269,0.90907,0.86278,0.93494,0.61986,1.3428,0.67966,1.11774,0.007426,0.007426,0.007426
28,11814.7,1.04409,0.57189,1.04164,0.91122,0.86219,0.93898,0.6295,1.31676,0.66051,1.10778,0.007327,0.007327,0.007327
29,12246.9,1.03367,0.56888,1.03624,0.90374,0.87367,0.93707,0.62816,1.31827,0.65857,1.1112,0.007228,0.007228,0.007228
30,12676.6,1.02999,0.56345,1.03711,0.91322,0.86278,0.93535,0.63577,1.28136,0.65854,1.09812,0.007129,0.007129,0.007129
31,13101,1.02511,0.55721,1.03609,0.91243,0.87443,0.94222,0.63496,1.31125,0.63228,1.10735,0.00703,0.00703,0.00703
32,13517.8,1.01497,0.55208,1.02824,0.91598,0.86356,0.94,0.63036,1.32351,0.65517,1.11447,0.006931,0.006931,0.006931
33,13945.5,1.02212,0.54922,1.03364,0.91655,0.86027,0.93989,0.63317,1.31369,0.64664,1.10885,0.006832,0.006832,0.006832
34,14374.5,1.00395,0.53915,1.02596,0.91068,0.85864,0.93811,0.6299,1.31407,0.65497,1.11392,0.006733,0.006733,0.006733
35,14794.7,1.00307,0.53745,1.02432,0.90968,0.87198,0.94105,0.62881,1.32537,0.65025,1.11058,0.006634,0.006634,0.006634
36,15212.5,1.00175,0.53433,1.02664,0.92327,0.851,0.93883,0.63249,1.3107,0.64039,1.10841,0.006535,0.006535,0.006535
