epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7008.75,1.02584,0.55508,1.0325,0.91356,0.86827,0.94303,0.6359,1.30088,0.63322,1.10094,0.005842,0.005842,0.005842
44,7539.31,1.01619,0.54973,1.03111,0.92665,0.86425,0.94435,0.64288,1.28791,0.62663,1.09708,0.005743,0.005743,0.005743
45,8072.78,1.00643,0.54141,1.02055,0.92166,0.87456,0.94408,0.63695,1.30606,0.62938,1.10074,0.005644,0.005644,0.005644
46,8604.24,1.00518,0.53837,1.023,0.91288,0.87721,0.94392,0.63364,1.31685,0.63449,1.10581,0.005545,0.005545,0.005545
47,9136.78,0.99966,0.53698,1.01812,0.92904,0.86747,0.94523,0.64372,1.28581,0.61834,1.0886,0.005446,0.005446,0.005446
48,9672.85,0.99407,0.5322,1.01794,0.91389,0.87397,0.94381,0.64072,1.29032,0.61718,1.09135,0.005347,0.005347,0.005347
49,10208.9,0.9917,0.52907,1.01562,0.91105,0.87986,0.94783,0.64215,1.29222,0.61723,1.09354,0.005248,0.005248,0.005248
50,10740.1,0.98588,0.52652,1.01576,0.91765,0.87936,0.9466,0.64537,1.27862,0.6151,1.0885,0.005149,0.005149,0.005149
51,11272.3,0.98288,0.52053,1.01098,0.9113,0.88133,0.94554,0.63921,1.31006,0.61515,1.1041,0.00505,0.00505,0.00505
52,11805.8,0.98921,0.51954,1.01241,0.91257,0.87898,0.94451,0.6432,1.30018,0.61472,1.09995,0.004951,0.004951,0.004951
53,12333.7,0.97436,0.51371,1.00842,0.91339,0.88196,0.94749,0.64615,1.29455,0.60558,1.09401,0.004852,0.004852,0.004852
54,12866.4,0.96942,0.51223,1.00501,0.92094,0.88163,0.94782,0.64296,1.29733,0.60008,1.09821,0.004753,0.004753,0.004753
55,13398.4,0.96818,0.50829,1.0067,0.9152,0.88575,0.94618,0.64062,1.30675,0.60306,1.1025,0.004654,0.004654,0.004654
56,13929.1,0.95991,0.50529,1.00257,0.90916,0.88751,0.94726,0.63883,1.31579,0.60559,1.10329,0.004555,0.004555,0.004555
57,14459.5,0.96142,0.50172,1.00252,0.92642,0.8778,0.94746,0.64507,1.29791,0.59619,1.09523,0.004456,0.004456,0.004456
58,14996.1,0.95672,0.49959,1.00213,0.91682,0.88663,0.94803,0.64238,1.30482,0.59845,1.10196,0.004357,0.004357,0.004357
59,15527.9,0.95247,0.49648,0.99616,0.91291,0.88192,0.94573,0.64152,1.31093,0.60303,1.10565,0.004258,0.004258,0.004258
60,16062.6,0.94471,0.4875,0.99599,0.90474,0.88939,0.94727,0.64268,1.30775,0.5986,1.09711,0.004159,0.004159,0.004159
61,16593.5,0.9572,0.49587,1.00059,0.91473,0.87816,0.94623,0.64447,1.30437,0.60404,1.09825,0.00406,0.00406,0.00406
62,17126.1,0.95629,0.49714,0.9951,0.90817,0.88457,0.94777,0.64582,1.30175,0.60189,1.09794,0.003961,0.003961,0.003961
63,17664.4,0.94613,0.4917,0.99448,0.90479,0.89267,0.94836,0.64388,1.30687,0.59797,1.09855,0.003862,0.003862,0.003862
