epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2510.34,1.08889,0.63592,1.06179,0.92045,0.83815,0.92845,0.62386,1.2875,0.70349,1.08981,0.005842,0.005842,0.005842
44,2783.98,1.08965,0.6327,1.05785,0.91237,0.83804,0.92435,0.61861,1.3068,0.71257,1.09572,0.005743,0.005743,0.005743
45,3059.49,1.09175,0.6355,1.06178,0.91049,0.84769,0.92943,0.62101,1.30635,0.70559,1.09857,0.005644,0.005644,0.005644
46,3335.92,1.08269,0.62754,1.05837,0.91702,0.84287,0.92904,0.61772,1.31904,0.70047,1.09956,0.005545,0.005545,0.005545
47,3613.16,1.08464,0.62682,1.05713,0.89496,0.8563,0.93193,0.62385,1.29452,0.69945,1.09119,0.005446,0.005446,0.005446
48,3893.9,1.07763,0.62214,1.05793,0.90997,0.84511,0.92909,0.62395,1.28922,0.69359,1.08931,0.005347,0.005347,0.005347
49,4192.06,1.07276,0.61756,1.04985,0.91756,0.84511,0.92954,0.62799,1.27849,0.68938,1.08842,0.005248,0.005248,0.005248
50,4487.07,1.06949,0.60891,1.05052,0.90362,0.85395,0.93121,0.62595,1.29139,0.689,1.09102,0.005149,0.005149,0.005149
51,4800.09,1.06304,0.61031,1.04716,0.91502,0.84747,0.93002,0.6265,1.28555,0.68464,1.08742,0.00505,0.00505,0.00505
52,5093.67,1.05757,0.60526,1.04493,0.90978,0.84924,0.93213,0.62494,1.2989,0.68494,1.0932,0.004951,0.004951,0.004951
53,5378.12,1.05679,0.59975,1.0459,0.92071,0.84364,0.93136,0.62812,1.28903,0.6792,1.09147,0.004852,0.004852,0.004852
54,5669.14,1.05257,0.59787,1.04712,0.92011,0.84364,0.93266,0.63029,1.29427,0.68186,1.09694,0.004753,0.004753,0.004753
55,5965.72,1.04849,0.59398,1.04058,0.91624,0.84391,0.92938,0.62546,1.30543,0.6868,1.09306,0.004654,0.004654,0.004654
56,6265.64,1.0579,0.60024,1.04234,0.91138,0.85402,0.92921,0.62661,1.29815,0.68608,1.09068,0.004555,0.004555,0.004555
57,6552.85,1.04576,0.58785,1.03958,0.91208,0.85534,0.93153,0.62882,1.29732,0.6791,1.09054,0.004456,0.004456,0.004456
58,6835.14,1.04526,0.58851,1.03929,0.91522,0.85041,0.92939,0.62826,1.30325,0.68215,1.09374,0.004357,0.004357,0.004357
59,7125.21,1.04555,0.58802,1.04091,0.91305,0.84835,0.93183,0.62863,1.29328,0.67565,1.0863,0.004258,0.004258,0.004258
60,7430.57,1.035,0.5801,1.03467,0.917,0.85277,0.93263,0.62897,1.29776,0.67429,1.09154,0.004159,0.004159,0.004159
